题目内容,题目选项A,题目选项B,题目选项C,题目选项D,题目答案,类型,分值,难度,赛题分类（技术领域）,,,,,,
"国家推进网络安全社会化服务体系建设,鼓励有关企业、机构开展网络安全认证、检测和()等安全服务。",安全认证,检测,风险评估,预防,3,单选,1,1,法律法规,,,,,,
"国家鼓励开发网络()保护和利用技术,促进公共数据资源开放,推动技术创新和经济社会发展。",数据,数据安全,资料,安全,2,单选,1,1,法律法规,,,,,,
"国家支持创新()管理方式,运用网络新技术,提升网络安全保护水平。",网络,安全,网络安全,网络设备,3,单选,1,1,法律法规,,,,,,
"各级人民政府及其有关部门应当组织开展经常性的网络安全宣传教育,并()有关单位做好网络安全宣传教育工作。",指导、督促,指导,督促,监督,1,单选,1,1,法律法规,,,,,,
大众传播媒介应当有针对性地()进行网络安全宣传教育。,针对大家,面向职员,社会,面向社会,4,单选,1,1,法律法规,,,,,,
"国家支持企业和高等学校、职业学校等教育培训机构开展网络安全相关教育与培训,采取多种方式培养(),促进网络安全人才交流。",安全人员,网络安全人才,技术人员,人才,2,单选,1,1,法律法规,,,,,,
"国家实行网络安全等级保护制度。网络运营者应当按照网络安全等级保护制度的要求,履行下列安全保护义务,保障网络免受干扰、破坏或者()的访问,防止网络数据泄露或者被窃取、篡改:",已授权,破坏,未经授权,干扰,3,单选,1,1,法律法规,,,,,,
"网络产品、服务应当符合相关国家标准的强制性要求。网络产品、服务的提供者不得设置();发现其网络产品、服务存在安全缺陷、漏洞等风险时,应当立即采取补救措施,按照规定及时告知用户并向有关主管部门报告。",恶意程序,病毒,木马,程序,1,单选,1,1,法律法规,,,,,,
"网络产品、服务具有()功能的,其提供者应当向用户明示并取得同意;涉及用户个人信息的,还应当遵守本法和有关法律、行政法规关于个人信息保护的规定。",隐私,搜索,收集用户信息,检测信息,3,单选,1,1,法律法规,,,,,,
"网络关键设备和网络安全专用产品应当按照相关国家标准的强制性要求,由具备资格的机构安全认证合格或者安全检测符合要求后,方可销售或者提供。国家网信部门会同国务院有关部门制定、公布网络关键设备和网络安全专用产品目录,并推动安全认证和安全(),避免重复认证、检测。",机制,检测,结果,检测结果互认,4,单选,1,1,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服务,办理固定电话、移动电话等入网手续,或者为用户提供信息发布、即时通讯等服务,在与用户签订协议或者确认提供服务时,应当要求用户()信息。用户不提供真实身份信息的,网络运营者不得为其提供相关服务。",任意身份,提供真实身份,其他人,当事人,2,单选,1,1,法律法规,,,,,,
"国家实施网络可信身份战略,支持研究开发安全、方便的()技术,推动不同电子身份认证之间的互认。",身份认证,检测,电子身份认证,安全,3,单选,1,1,法律法规,,,,,,
"网络运营者应当制定网络安全事件(),及时处置系统漏洞、计算机病毒、网络攻击、网络侵入等安全风险;在发生危害网络安全的事件时,立即启动应急预案,采取相应的补救措施,并按照规定向有关主管部门报告。",应急预案,紧急措施,预案,措施,1,单选,1,1,法律法规,,,,,,
"开展网络安全认证、检测、风险评估等活动,向社会发布系统漏洞、计算机病毒、网络攻击、网络侵入等网络(),应当遵守国家有关规定。",安全信息,信息,预警,连接,1,单选,1,1,法律法规,,,,,,
任何个人和组织不得从事非法侵入他人网络、干扰他人网络正常功能、窃取()等危害网络安全的活动;,机密,网络数据,信息,资料,2,单选,1,1,法律法规,,,,,,
不得提供专门用于从事侵入网络、干扰网络正常功能及防护措施、窃取网络数据等危害网络安全活动的();,人员,程序,程序、工具,工具,3,单选,1,1,法律法规,,,,,,
"明知他人从事危害网络安全的活动的,不得为其提供()、广告推广、支付结算等帮助。",工具,资金,运维,技术支持,4,单选,1,1,法律法规,,,,,,
网络运营者应当为公安机关、国家安全机关依法维护()和侦查犯罪的活动提供技术支持和协助。,个人安全,国家安全,人民利益,个人利益,2,单选,1,1,法律法规,,,,,,
"国家支持网络运营者之间在网络安全信息收集、分析、通报和应急处置等方面(),提高网络运营者的安全保障能力。",进行合作,相互竞争,互相协作,协同作战,1,单选,1,1,法律法规,,,,,,
"有关行业组织建立健全本行业的网络安全保护规范和协作机制,加强对()的分析评估,定期向会员进行风险警示,支持、协助会员应对网络安全风险。",网络,网络安全风险,安全,风险,2,单选,1,1,法律法规,,,,,,
"网信部门和有关部门在履行网络安全保护职责中获取的(),只能用于维护网络安全的需要,不得用于其他用途",程序,工具,利益,信息,4,单选,1,1,法律法规,,,,,,
"国家对公共通信和信息服务、能源、交通、水利、金融、公共服务、电子政务等重要行业和领域,以及其他一旦遭到破坏、丧失功能或者数据泄露,可能严重危害国家安全、国计民生、()的关键信息基础设施,在网络安全等级保护制度的基础上,实行重点保护。关键信息基础设施的具体范围和安全保护办法由国务院制定。",国计民生,公共利益,国家安全,个人利益,2,单选,1,1,法律法规,,,,,,
"按照国务院规定的职责分工,负责关键信息基础设施安全保护工作的部门分别编制并组织实施本行业、本领域的()基础设施安全规划,指导和监督关键信息基础设施运行安全保护工作。",一般信息,基础设施,关键信息,机密性,3,单选,1,1,法律法规,,,,,,
"建设关键信息基础设施应当确保其具有支持业务稳定、(),并保证安全技术措施同步规划、同步建设、同步使用。",持续性,连续性,稳定性,持续运行的性能,4,单选,1,1,法律法规,,,,,,
"关键信息基础设施的运营者还应当履行下列安全保护义务:(一)设置专门安全管理机构和安全管理负责人,并对该负责人和关键岗位的人员进行安全背景审查;(二)定期对从业人员进行()、技术培训和技能考核;(三)对重要系统和数据库进行容灾备份;(四)制定网络安全事件应急预案,并定期进行演练;(五)法律、行政法规规定的其他义务。",培训,教育,网络安全教育,学习,3,单选,1,1,法律法规,,,,,,
"关键信息基础设施的运营者采购网络产品和服务,可能影响()的,应当通过国家网信部门会同国务院有关部门组织的国家安全审查。",国家安全,公共财产,人民利益,个人安全,1,单选,1,1,法律法规,,,,,,
"关键信息基础设施的运营者采购网络产品和服务,应当按照规定与提供者签订()协议,明确安全和保密义务与责任。",保密,责任,安全保密,义务,3,单选,1,1,法律法规,,,,,,
"关键信息基础设施的运营者在中华人民共和国境内运营中收集和产生的个人信息和重要数据应当在()存储。因业务需要,确需向境外提供的,应当按照国家网信部门会同国务院有关部门制定的办法进行安全评估;法律、行政法规另有规定的,依照其规定。",本地,首都,境外,境内,4,单选,1,1,法律法规,,,,,,
"关键信息基础设施的运营者应当自行或者委托网络安全服务机构对其网络的安全性和()每年至少进行一次检测评估,并将检测评估情况和改进措施报送相关负责关键信息基础设施安全保护工作的部门。",连续性,持续性,可能存在的风险,风险,3,单选,1,1,法律法规,,,,,,
"对关键信息基础设施的安全风险进行抽查检测,提出改进措施,必要时可以委托()对网络存在的安全风险进行检测评估;",网络安全服务机构,网络公司,第三方,安全部门,1,单选,1,1,法律法规,,,,,,
"定期组织关键信息基础设施的运营者进行网络安全(),提高应对网络安全事件的水平和协同配合能力;",应急演练,教育,演示,风险,1,单选,1,1,法律法规,,,,,,
促进有关部门、关键信息基础设施的运营者以及有关研究机构、网络安全服务机构等之间的网络安全();,责任共担,义务,信息共享,有用信息,3,单选,1,1,法律法规,,,,,,
"网络运营者应当对其收集的用户信息(),并建立健全用户信息保护制度。",全部公开,部分公开,保守秘密,严格保密,4,单选,1,1,法律法规,,,,,,
"网络运营者收集、使用个人信息,应当遵循合法、正当、必要的原则,公开收集、使用规则,明示收集、使用信息的目的、方式和范围,并经()同意。",使用者,被收集者,法人,人民,2,单选,1,1,法律法规,,,,,,
"网络运营者不得收集与其提供的服务无关的个人信息,不得违反法律、行政法规的规定和()收集、使用个人信息,并应当依照法律、行政法规的规定和与用户的约定,处理其保存的个人信息。",双方敲定,约定,双方的约定,沟通,3,单选,1,1,法律法规,,,,,,
"个人发现网络运营者违反法律、行政法规的规定或者双方的约定收集、使用其个人信息的,()要求网络运营者删除其个人信息;发现网络运营者收集、存储的其个人信息有错误的,有权要求网络运营者予以更正。网络运营者应当采取措施予以删除或者更正。",无权,有权,有利于,有责任,2,单选,1,1,法律法规,,,,,,
"任何个人和组织不得窃取或者以其他非法方式获取个人信息,不得()或者非法向他人提供个人信息。",有意,故意,非法出售,出售,3,单选,1,1,法律法规,,,,,,
"依法负有网络安全监督管理职责的部门及其工作人员,必须对在履行职责中知悉的个人信息、隐私和商业秘密(),不得泄露、出售或者非法向他人提供。",严格保密,守口如瓶,个人信息,公开,1,单选,1,1,法律法规,,,,,,
"任何个人和组织应当对其()的行为负责,不得设立用于实施诈骗,传授犯罪方法,制作或者销售违禁物品、管制物品等违法犯罪活动的网站、通讯群组,不得利用网络发布涉及实施诈骗,制作或者销售违禁物品、管制物品以及其他违法犯罪活动的信息。",上网,聊天,使用网络,网购,3,单选,1,1,法律法规,,,,,,
"网络运营者应当加强对其()的管理,发现法律、行政法规禁止发布或者传输的信息的,应当立即停止传输该信息,采取消除等处置措施,防止信息扩散,保存有关记录,并向有关主管部门报告。",用户发布的信息,网民,公民,用户,1,单选,1,1,法律法规,,,,,,
"任何个人和组织发送的电子信息、提供的应用软件,不得设置(),不得含有法律、行政法规禁止发布或者传输的信息。",软件,恶意程序,木马,病毒,2,单选,1,1,法律法规,,,,,,
"电子信息发送服务提供者和应用软件下载服务提供者,应当履行(),知道其用户有前款规定行为的,应当停止提供服务,采取消除等处置措施,保存有关记录,并向有关主管部门报告",安全管理义务,安全义务,管理义务,安全责任,1,单选,1,1,法律法规,,,,,,
"网络运营者应当建立网络信息安全投诉、举报制度,公布投诉、举报方式等信息,及时()有关网络信息安全的投诉和举报。网络运营者对网信部门和有关部门依法实施的监督检查,应当予以配合。",受理,处理,受理并处理,建议,3,单选,1,1,法律法规,,,,,,
"国家网信部门和有关部门依法履行网络信息安全监督管理职责,发现法律、行政法规禁止发布或者传输的信息的,应当要求()停止传输,采取消除等处置措施,保存有关记录;对来源于中华人民共和国境外的上述信息,应当通知有关机构采取技术措施和其他必要措施阻断传播。",网络运营者,网络使用者,网络发布者,网络造谣者,1,单选,1,1,法律法规,,,,,,
"国家建立网络安全监测预警和信息通报制度。国家网信部门应当()有关部门加强网络安全信息收集、分析和通报工作,按照规定统一发布网络安全监测预警信息。",统筹,统筹协调,协调,安排,2,单选,1,1,法律法规,,,,,,
"负责关键信息基础设施安全保护工作的部门,应当建立健全本行业、本领域的网络安全()和信息通报制度,并按照规定报送网络安全监测预警信息。",检测,监测,监测预警,预警,3,单选,1,1,法律法规,,,,,,
"国家网信部门协调有关部门建立健全网络安全风险评估和应急工作机制,制定网络安全事件应急预案,并定期组织()。",演示,沟通,学习,演练,4,单选,1,1,法律法规,,,,,,
"网络安全事件发生的风险增大时,省级以上人民政府有关部门应当按照规定的(),并根据网络安全风险的特点和可能造成的危害,采取下列措施:(一)要求有关部门、机构和人员及时收集、报告有关信息,加强对网络安全风险的监测;(二)组织有关部门、机构和专业人员,对网络安全风险信息进行分析评估,预测事件发生的可能性、影响范围和危害程度;(三)向社会发布网络安全风险预警,发布避免、减轻危害的措施。",权限,程序,权限和程序,流程,3,单选,1,1,法律法规,,,,,,
"发生网络安全事件,应当立即启动网络安全事件应急预案,对网络安全事件进行(),要求网络运营者采取技术措施和其他必要措施,消除安全隐患,防止危害扩大,并及时向社会发布与公众有关的警示信息。",调查和评估,调查,评估,分析,1,单选,1,1,法律法规,,,,,,
"省级以上人民政府有关部门在履行网络安全监督管理职责中,发现网络存在较大()或者发生安全事件的,可以按照规定的权限和程序对该网络的运营者的法定代表人或者主要负责人进行约谈。网络运营者应当按照要求采取措施,进行整改,消除隐患。",安全责任,安全风险,安全事件,保密,2,单选,1,1,法律法规,,,,,,
"因网络安全事件,发生()或者生产安全事故的,应当依照《中华人民共和国突发事件应对法》、《中华人民共和国安全生产法》等有关法律、行政法规的规定处置。",突发,事件,突发事件,时间,3,单选,1,1,法律法规,,,,,,
"因维护国家安全和社会公共秩序,处置重大突发社会安全事件的需要,经国务院决定或者批准,可以在()对网络通信采取限制等临时措施。",特定区域,特定时间,特定空间,网址,1,单选,1,1,法律法规,,,,,,
"网络运营者不履行本法第二十一条、第二十五条规定的网络安全保护义务的,由有关主管部门责令改正,给予警告;拒不改正或者()等后果的,处一万元以上十万元以下罚款,对直接负责的主管人员处五千元以上五万元以下罚款。",网络安全服务机构,导致危害网络安全,危害公共安全,公共财产,2,单选,1,1,法律法规,,,,,,
"关键信息基础设施的运营者不履行本法第三十三条、第三十四条、第三十六条、第三十八条规定的网络安全()的,由有关主管部门责令改正,给予警告;拒不改正或者导致危害网络安全等后果的,处十万元以上一百万元以下罚款,对直接负责的主管人员处一万元以上十万元以下罚款。",保护,责任,保护义务,义务,3,单选,1,1,法律法规,,,,,,
"违反本法第二十六条规定,开展网络安全认证、检测、风险评估等活动,或者向社会发布系统漏洞、计算机病毒、网络攻击、网络侵入等网络安全信息的,由有关主管部门责令改正,给予警告;拒不改正或者情节严重的,处一万元以上十万元以下罚款,并可以由有关主管部门责令暂停相关业务、停业整顿、关闭网站、吊销相关业务许可证或者吊销(),对直接负责的主管人员和其他直接责任人员处五千元以上五万元以下罚款。",上网卡,资格证,营业执照,驾驶证,3,单选,1,1,法律法规,,,,,,
以下哪种移动操作系统绝对安全，不会造成泄密？,安卓,黑莓,塞班,都不安全,4,单选,2,2,移动安全,,,,,,
下列哪项是经过十二届全国人大常委会第二十四次会议通过，于2016年11月7日发布，2017年6月1日起正式执行的,《中华人民共和国网络安全法》,《移动互联网应用程序信息服务管理规定》,《中华人民共和国金融行业标准》,《信息系统安全等级保护基本要求》,1,单选,2,2,移动安全,,,,,,
以下哪项操作可能会威胁到智能手机的安全性,越狱,ROOT,安装盗版软件,以上都是,4,单选,2,2,移动安全,,,,,,
以下哪种方法对于保护app不可取,对代码进行混淆,使用HTTPS通信,使用一成不变的秘钥,对关键数据进行加密,3,单选,2,2,移动安全,,,,,,
1.? 2016年4月19日，习近平总书记在网络安全和信息化工作座谈会上指出：“要正确处理开放和自主的关系”，对此理解错误的是（）,互联网让世界变成了地球村，推动国际社会越来越成为你中有我、我中有你的命运共同体,关起门来，另起炉灶，彻底拜托对外国技术的依赖，靠自主创新谋发展，否则总跟在别人后面跑，永远追不上,市场换不来核心技术，有钱也买不来核心技术，必须靠自己研发、自己发展,强调自主创新，不是关起门来搞研发，一定要坚持开创创新，只有跟高手过招才知道差距，不能夜郎自大,2,单选,2,2,移动安全,,,,,,
小红需要下载一个正版的中国银行软件，她应该采取的途径是,扫描陌生人传过来的二维码,陌生人发送的APK软件,未知的下载URL下载地址,中国银行官网发布的下载路径,4,单选,2,2,移动安全,,,,,,
中央网络安全和信息化领导小组要求把我国建设成,技术强国,信息强国,科技强国,网络强国,4,单选,2,2,移动安全,,,,,,
下列属于网络诈骗的方式是,手机短信,钓鱼诈骗,QQ视频诈骗,以上都是,4,单选,2,2,移动安全,,,,,,
在移动互联网时代，我们应该做到,加强自我修养,谨言慎行,敬畏技术, 以上都对,4,单选,2,2,移动安全,,,,,,
影响移动设备安全的因素不包括,设备操作系统不安全,感染恶意代码,安装盗版软件,电源故障,4,单选,2,2,移动安全,,,,,,
关于常见的 应用保护方法，下列选项错误的是, 对应用进行安全检测，了解漏洞和风险所在,对应用进行安全加固，抵御黑客和恶意用户攻击,给应用起一个复杂的名称,寻求专业移动安全公司对移动应用进行全方位保护,3,单选,2,2,移动安全,,,,,,
为了确保手机移动应用安全，我们在下载手机APP的时候应该避免,用搜索后下载,从官方商城下载,在手机上安装杀毒等安全软件,及时关注安全信息,1,单选,2,2,移动安全,,,,,,
419习主席讲话后，信息安全已经提升到（）层面,国家安全,公共安全,文化安全,个人安全,1,单选,2,2,移动安全,,,,,,
以下哪种行为不属于移动应用,使用蓝牙耳机拨打电话, 用台式机电脑在家上网下载程序, 用手机在火车上看电子小说,用PAD在室外上网收发邮件,2,单选,2,2,移动安全,,,,,,
根据国际安全界统计，各类计算机网络、存储数据被攻击和破坏80%是,病毒所为,黑客所为,内部所为,原因不明,3,单选,2,2,移动安全,,,,,,
根据信息系统在国家安全、经济建设、社会生活中的重要程度，遭到破坏后对国家安全、社会秩序、公共利益以及公民、法人和其他组织的合法权益的危害程度等，可以把信息系统的安全等级由低到高分为（）进行安全保护。,两级,三级,四级,五级,4,单选,2,2,移动安全,,,,,,
良好的手机安全防护习惯对保障个人信息安全至关重要，下列各项中，不属于良好的手机安全防护习惯是,玩游戏的手机终端和银行支付的手机终端分开,不通过链接打开银行页面，只使用官方APP,下载软件钱认真阅读用户评论, 在公共wifi场所使用银行账号等支付服务,4,单选,2,2,移动安全,,,,,,
无线网络存在巨大的安全隐患。例如，在公共场所黑客提供一个与商家名称类似的免费wifi接入点，并吸引网民的接入，而网名在毫不知情的情况下，就可能面临个人敏感信息遭窃取的情况，甚至造成直接的经济损失，这种手段被称之为,wifi钓鱼陷阱,wifi接入点被偷梁换柱,黑客主动攻击,攻击家用路由器,1,单选,2,2,移动安全,,,,,,
下列密码中，最安全的是,跟用户名相同的密码,身份证号后6位作为密码,重复的8位数密码,10位的综合性密码,4,单选,2,2,移动安全,,,,,,
提倡文明上网，健康生活，我们不应该有下列哪种行为？,在网上对其他网友进行人身攻击,自觉抵制网上的虚假、低俗内容、让有害信息无处藏身,浏览合法网站，玩健康网络游戏，并用自己的行动影响周围的朋友,不信谣，不传谣，不造谣,1,单选,2,2,移动安全,,,,,,
网络安全领域，把已经被发现，但相关软件厂商还没有进行修复的漏洞叫什么漏洞？,0 day漏洞,DDay漏洞,无痕漏洞,黑客漏洞,1,单选,2,2,移动安全,,,,,,
2016年4月19日，习近平总书记在网络安全和信息化工作座谈会上指出，维护网络安全，首先要知道风险在哪里，是什么样的风险，什么时候发生风险，正所谓“聪者听于无声，明者见于未形”。（）是最基本最基础的工作,感知网络安全态势,实施风险评估,加强安全策略,实行总体防御,1,单选,2,2,移动安全,,,,,,
移动支付购物时，扫描了不明的二维码，支付宝的钱被盗了，主要是中了？,僵尸网络, 病毒, 钓鱼, 蠕虫,2,单选,2,2,移动安全,,,,,,
 专家建议手机等移动终端登录网银、支付宝等APP时应关闭（）功能，使用3G、4G数据流进行操作才比较安全,无线网络, 收费wifi,免费wifi, 无线热点,3,单选,2,2,移动安全,,,,,,
财务人员小王在QQ上突然收到公司老板张总的消息，要求将公司账户中的96万打到一个账号中，此时，小王应该（）,老板吩咐，立即马上把钱打到账户上去,一看就是骗子消息，不予理会,金额较大，先当面或是致电张总确认情况,按照公司规定，先汇去一半，剩下的一半等一个月后再汇过去,3,单选,2,2,安全意识,,,,,,
"好友的 QQ 突然发来一个网站链接要求投票,最合理的做法是( )","因为是其好友信息,直接打开链接投票","可能是好友 QQ 被盗,发来的是恶意链接,先通过手机跟朋友确认链接无 异常后,再酌情考虑是否投票",不参与任何投票,把好友加入黑名单,2,单选,2,2,安全意识,,,,,,
使用微信时可能存在安全隐患的行为是？（ ）,允许“回复陌生人自动添加为朋友”,取消“允许陌生人查看10张照片”功能,设置微信独立帐号和密码，不共用其他帐号和密码,安装防病毒软件，从官方网站下载正版微信,1,单选,2,2,安全意识,,,,,,
微信收到“微信团队”的安全提示：“您的微信账号在16:46尝试在另一个设备登录。登录设备：XX品牌XX型号”。这时我们应该怎么做（  ）,有可能是误报，不用理睬,确认是否是自己的设备登录，如果不是，则尽快修改密码,自己的密码足够复杂，不可能被破解，坚决不修改密码,拨打110报警，让警察来解决,2,单选,2,2,安全意识,,,,,,
小强接到电话，对方称他的快递没有及时领取，请联系XXXX电话，小强拨打该电话后提供自己的私人信息后，对方告知小强并没有快递。过了一个月之后，小强的多个账号都无法登录。在这个事件当中，请问小强最有可能遇到了什么情况？,快递信息错误而已，小强网站账号丢失与快递这件事情无关,小强遭到了社会工程学诈骗，得到小强的信息从而反推出各种网站的账号密码,小强遭到了电话诈骗，想欺骗小强财产,小强的多个网站账号使用了弱口令，所以被盗。,2,单选,2,2,安全意识,,,,,,
注册或者浏览社交类网站时，不恰当的做法是：,尽量不要填写过于详细的个人资料,不要轻易加社交网站好友,充分利用社交网站的安全机制,信任他人转载的信息,4,单选,2,2,安全意识,,,,,,
如何防范木马的攻击,为电脑安装杀毒软件，定期扫描系统、查杀病毒；及时更新病毒库、更新系统补丁,下载软件时尽量到官方网站或大型软件下载网站，在安装或打开来历不明的软件或文件前先杀毒,不随意打开不明网页链接，尤其是不良网站的链接，陌生人通过 QQ 给自己传链接时，尽量不要打开,要从互联网等公共网络上下载资料转入内网计算机时，用刻录光盘的方式实现转存,"1,2,3,4",多选,2,2,安全意识,,,,,,
如何保护密码安全,账户和密码尽量不要相同，定期修改密码，增加密码的复杂度,用生日、证件号码等有关个人隐私的数字作为密码,不同用途的网络应用，可以设置相同的用户名和密码,密码尽量由大小写字母、数字和其他字符混合组成，适当增加密码的长度并经常更换,"1,4",多选,2,2,安全意识,,,,,,
刘同学喜欢玩网络游戏。某天他正玩游戏，突然弹出一个窗口，提示：特大优惠！1元可购买10000元游戏币！点击链接后，在此网站输入银行卡账号和密码，网上支付后发现自己银行卡里的钱都没了。结合本实例，对发生问题的原因描述正确的是？,电脑被植入木马,用钱买游戏币,轻信网上的类似“特大优惠”的欺骗链接，并透露了自己的银行卡号、密码等私密信息导致银行卡被盗刷,使用网银进行交易,3,单选,2,2,安全意识,,,,,,
李同学浏览网页时弹出 “新版游戏，免费玩，点击就送大礼包”的广告，李同学点了之后发现是个网页游戏，提示：“请安装插件”，请问，这种情况李同学应该怎么办最合适？（  ）,为了领取大礼包，安装插件之后玩游戏,网页游戏一般是不需要安装插件的，这种情况骗局的可能性非常大，不建议打开,询问朋友是否玩过这个游戏，朋友如果说玩过，那应该没事。,先将操作系统做备份，如果安装插件之后有异常，大不了恢复系统,2,单选,2,2,安全意识,,,,,,
对于青少年而言，日常上网过程中，下列选项，存在安全风险的行为是？,将电脑开机密码设置成复杂的15位强密码,安装盗版的操作系统,在QQ聊天过程中不点击任何不明链接,避免在不同网站使用相同的用户名和口令,2,单选,2,2,安全意识,,,,,,
浏览网页时，弹出“最热门的视频聊天室”的页面，遇到这种情况，一般怎么办？,现在网络主播很流行，很多网站都有，可以点开看看,安装流行杀毒软件，然后再打开这个页面,访问完这个页面之后，全盘做病毒扫描,弹出的广告页面，风险太大，不应该去点击,4,单选,2,2,安全意识,,,,,,
韩同学收到一封邮件，说自己的QQ号码存在异常，需要紧急处理，点开网站后需要输入QQ号、密码，以下最合理的做法是？,QQ号码存在异常，应立即按邮件要求处理,QQ密码设置复杂，没有安全问题，不予理睬,检查邮件标题是否为蓝色，如果不是蓝色标题，则可确定这封邮件为仿冒官方的盗号邮件，可直接举报,冻结此QQ，不再使用,3,单选,2,2,安全意识,,,,,,
家明发现某网站可以观看“XX魔盗团2”，但是必须下载专用播放器，家明应该怎么做？,安装播放器观看,打开杀毒软件，扫描后再安装,先安装，看完电影后再杀毒,不安装，等待正规视频网站上线后再看,4,单选,2,2,安全意识,,,,,,
世界上首例通过网络攻击瘫痪物理核设施的事件是？,巴基斯坦核电站震荡波事件,以色列核电站冲击波事件,伊朗核电站震荡波事件,伊朗核电站震网（stuxnet）事件,4,单选,2,2,基础知识,,,,,,
王女士经常通过计算机网络进行购物，从安全角度看，下面哪项是不好的操作习惯？,在使用网络浏览器时，设置不在计算机中保留网络历史记录和表单数据,为计算机安装具有良好声誉的安全防护软件，包括病毒查杀、安全检查和安全加固方面的软件,在IE 的配置中，设置只能下载和安装经过签名的、安全的ActiveX 控件,采用专用的计算机进行网上购物，安装好软件后不对该计算机上的系统软件、应用软件进行升级,4,单选,2,2,安全意识,,,,,,
小刘在某电器城购买了一台冰箱，并留下了个人姓名、电话和电子邮件地址等信息，第二天他收到了一封来自电器城提示他中奖的邮件，查看该邮件后他按照提示缴纳中奖税款后并没有得到中奖奖金，再打电话询问电器城才得知电器城并没有举办中奖活动。根据上面的描述，由此可以推断的是？,小刘在电器城登记个人信息时，使用了加密手段,小刘遭受了钓鱼邮件攻击，钱被骗走了,小刘的计算机中了木马，被远程控制,小刘购买的冰箱是智能冰箱，可以连网,2,单选,2,2,安全意识,,,,,,
下面选项属于社会工程学攻击选项的是？,逻辑炸弹,木马,包重放,网络钓鱼,4,单选,2,2,基础知识,,,,,,
没有自拍，也没有视频聊天，但电脑摄像头的灯总是亮着，这是什么原因？,可能中了木马，正在被黑客偷窥,电脑坏了,本来就该亮着,摄像头坏了,1,单选,2,2,基础知识,,,,,,
王先生近期收到了一封电子邮件，发件人显示是某同事，但该邮件十分可疑，没有任何与工作相关内容，邮件中带有一个陌生的网站链接，要求他访问并使用真实姓名注册，这可能属于哪种攻击手段,缓冲区溢出攻击,钓鱼攻击,水坑攻击,DDOS攻击,2,单选,2,2,基础知识,,,,,,
现在的智能设备能直接收集到身体相应信息，比如我们佩戴的手环收集个人健康数据。以下哪些行为可能造成个人信息泄露？,将手环外借他人,接入陌生网络,手环电量低,分享跑步时的路径信息,"1,2,4",多选,2,2,基础知识,,,,,,
网购已经在我们的生活中无处不在，下列哪些行为有诈骗嫌疑？,拍下商品，付款成功后，告诉其在20天后才能到货,买家拍货之后不付款要求卖家发货，卖家不发货就以投诉差评威胁新手卖家,有自称为“淘宝客服”的人索要账户密码,卖家推荐买家使用支付宝担保交易，保证交易中的安全性。,"1,2,3",多选,2,2,安全意识,,,,,,
根据中国互联网络信息中心统计，2017年网络安全危害影响最大的哪方面？,个人信息泄露,网上诈骗,设备中病毒或木马,账号密码被盗,2,单选,2,2,基础知识,,,,,,
根据中国互联网络信息中心统计，2017年入侵者最主要的攻破点是？,网站存在漏洞,人员安全意识,系统本身存在漏洞,网站信息泄露,2,单选,2,2,基础知识,,,,,,
网民遭遇网络诈骗的类别有哪些？,虚拟中奖信息诈骗,冒充好友诈骗,网络兼职诈骗,网络购物诈骗,"1,2,3,4",多选,2,2,基础知识,,,,,,
如何安全使用电子邮件？,不要随意点击不明邮件中的链接、图片、文件,当收到与个人信息和金钱相关（如中奖、集资等）的邮件时要提高警惕,只要密码强度高，可以不用设置找回密码的提示问题,使用电子邮件地址作为网站注册的用户名时，可以设置与原邮件密码相同的网站密码,"1,2",多选,2,2,基础知识,,,,,,
如何保证网络游戏安全？,为电脑安装安全防护软件，从正规网站上下载网游插件,使用外挂时，一定要注意提前杀毒，使用完后，及时的更改密码，以免被盗号,设置密码时，采用个人信息如生日、证件号，方便记忆。,可以把账号密码交给游戏大神，让他帮忙代练,1,单选,2,2,基础知识,,,,,,
防范网络虚假、有害信息？,在获得相关信息后，应先去函或去电与当地工商、质检等部门联系，核实情况,看到疑似谣言信息，不去理会,看到“发财致富”、“普及科学”、传授“新技术”的信息，要及时学习，以免错过先机,网上的信息都是假的，不能相信,1,单选,2,2,基础知识,,,,,,
以下属于网络诈骗类型的是？,利用 QQ 盗号和网络游戏交易进行诈骗，冒充好友借钱,网上中奖诈骗,“网络钓鱼”诈骗,自称公检法以办案为由要求汇款到“安全账户”的诈骗手法,"1,2,3",多选,2,2,基础知识,,,,,,
如何防范网络诈骗？,提高自我保护意识，注意妥善保管自己的私人信息，不向他人透露本人证件号码、账号、密码等，尽量避免在网吧等公共场所使用电子商务服务,看到优惠大折扣的信息，如果对商品有需求一定要及时购买,可以在网上购买手机监听器、毕业证书、考题答案来解燃眉之急,收到好朋友的QQ急需资金周转的时候，应马上把钱打过去帮助他度过难关,1,单选,2,2,基础知识,,,,,,
如何防范社交网站信息泄露？,经常在社交网上发布照片、地址来进行线下交友,根据自己对网站的需求选择注册,可以任意点击未经核实的链接,可以在社交网站上发布详细的个人信息来交到真心知己,2,单选,2,2,基础知识,,,,,,
如何保护网银安全？,在登录交易系统时选择“记住密码”选项，以免多次输入密码被人发现,交易完成后，要马上关闭网站。,使用存储额较大的储蓄卡或信用额度较大的信用卡开通网上银行,核实银行的正确网址，安全登录网上银行，不要随意点击未经核实的陌生链接,4,单选,2,2,基础知识,,,,,,
